ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,borough
10017.0,10017.0,10017,10017.0,,,2.0,91.0,36061008602,10017,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10017.0,10017.0,10017,10017.0,,,2.0,91.0,36061008800,10017,NEW YORK,NY,0.643410852713178,0.921348314606741,0.785714285714285,0.682286302780638,MN
10017.0,10017.0,10017,10017.0,,,2.0,91.0,36061009000,10017,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10017.0,10017.0,10017,10017.0,,,2.0,91.0,36061009200,10017,NEW YORK,NY,0.301161241195507,0.309523809523809,0.714814814814814,0.31726338177951,MN
10017.0,10017.0,10017,10017.0,,,2.0,91.0,36061009400,10017,NEW YORK,NY,1.0,0.796432725862737,0.897832817337461,0.811931243680485,MN
10018.0,10018.0,10018,10018.0,10018 Chelsea - Clinton (Manhattan),2.0,2.0,86.0,36061008400,10018,NEW YORK,NY,0.981539846915803,0.942318675042832,0.862745098039215,0.956989247311827,MN
10018.0,10018.0,10018,10018.0,10018 Chelsea - Clinton (Manhattan),2.0,2.0,86.0,36061010900,10018,NEW YORK,NY,0.984,0.607820453493752,0.550898203592814,0.613679146622045,MN
10018.0,10018.0,10018,10018.0,10018 Chelsea - Clinton (Manhattan),2.0,2.0,86.0,36061011100,10018,NEW YORK,NY,0.695886524822695,0.923076923076923,0.736401673640167,0.752620967741935,MN
10018.0,10018.0,10018,10018.0,10018 Chelsea - Clinton (Manhattan),2.0,2.0,86.0,36061011300,10018,NEW YORK,NY,0.996289424860853,0.907526254375729,0.853881278538812,0.925291005291005,MN
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061010400,10019,NEW YORK,NY,0.189019279128248,0.357833655705996,0.748743718592964,0.254439551072595,MN
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061011201,10019,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061013100,10019,NEW YORK,NY,1.0,0.877654196157735,0.916666666666666,0.966931874689209,MN
