ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061003900,10013,NEW YORK,NY,1.0,0.995918367346938,0.997630331753554,0.999368288060644
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061004100,10013,NEW YORK,NY,0.75443577004968,0.888888888888888,0.792341678939617,0.788859081584345
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061004500,10013,NEW YORK,NY,0.702443280977312,0.821064552661381,0.791907514450867,0.759578947368421
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061004700,10013,NEW YORK,NY,0.624195032198712,0.789638932496075,0.73345259391771,0.673590504451038
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061004900,10013,NEW YORK,NY,0.025182778229082,0.0477941176470588,0.0376850605652759,0.031317885590152
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061003700,10014,NEW YORK,NY,0.584706248057196,0.414580265095729,0.272020725388601,0.513807700060471
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061006500,10014,NEW YORK,NY,0.0390532544378698,0.0140845070422535,0.0186915887850467,0.0349016583108368
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061006700,10014,NEW YORK,NY,1.0,1.0,1.0,1.0
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061006900,10014,NEW YORK,NY,1.0,1.0,1.0,1.0
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007100,10014,NEW YORK,NY,0.485012395762902,0.151754385964912,0.386837881219903,0.413870967741935
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007300,10014,NEW YORK,NY,1.0,1.0,1.0,1.0
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007500,10014,NEW YORK,NY,1.0,1.0,1.0,1.0
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007700,10014,NEW YORK,NY,0.79734436221158,0.535147392290249,0.78443113772455,0.77528901734104
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007900,10014,NEW YORK,NY,1.0,1.0,1.0,1.0
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061008300,10014,NEW YORK,NY,0.076030534351145,0.118829981718464,0.1701244813278,0.0873738616785626
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061005600,10016,NEW YORK,NY,0.295160805530507,0.114111498257839,0.134387351778656,0.242597292724196
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061006200,10016,NEW YORK,NY,0.166761525327262,0.193548387096774,0.2,0.169350649350649
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061006600,10016,NEW YORK,NY,0.497120418848167,0.457286432160804,0.406976744186046,0.492362214346816
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061006800,10016,NEW YORK,NY,0.173104850421144,0.28443113772455,0.408284023668639,0.196328713834184
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061007000,10016,NEW YORK,NY,1.0,1.0,1.0,1.0
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061007200,10016,NEW YORK,NY,0.772438443208895,0.762118491921005,0.990291262135922,0.781057268722466
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061007400,10016,NEW YORK,NY,1.0,1.0,1.0,1.0
